phase,param,opt,min,max,model,pm
TO,to_v_lof,91.9,76.5,107.3,norm,91.9|10.7
TO,to_d_tof,2.30,1.31,3.30,norm,2.30|0.60
TO,to_acc_tof,1.64,1.17,2.11,norm,1.64|0.28
IC,ic_va_avg,90,76,105,norm,91|9
IC,ic_vh_avg,9.80,6.54,13.08,norm,9.81|1.99
CL,cl_d_range,229,176,350,gamma,7|142|13
CL,cl_v_cas_const,171,151,191,norm,171|13
CL,cl_v_mach_const,0.84,0.74,0.94,norm,0.84|0.07
CL,cl_h_cas_const,5.6,3.1,8.0,norm,5.6|1.2
CL,cl_h_mach_const,7.6,5.8,9.4,norm,7.6|0.9
CL,cl_vh_avg_pre_cas,8.66,6.82,12.20,gamma,9.32|4.14|0.54
CL,cl_vh_avg_cas_const,9.00,5.53,12.48,norm,9.00|2.11
CL,cl_vh_avg_mach_const,6.74,4.33,9.17,norm,6.75|1.47
CR,cr_d_range,5668,-726,12083,norm,5678|2753
CR,cr_v_cas_mean,148,131,165,norm,148|11
CR,cr_v_cas_max,169,145,193,norm,169|16
CR,cr_v_mach_mean,0.85,0.78,0.92,norm,0.85|0.05
CR,cr_v_mach_max,0.94,0.85,1.04,norm,0.94|0.06
CR,cr_h_mean,10.8,9.8,11.8,norm,10.8|0.6
CR,cr_h_max,11.3,10.2,12.4,beta,8.8|7.1|8.2|5.5
DE,de_d_range,261,195,484,gamma,3|172|32
DE,de_v_mach_const,0.80,0.69,0.92,norm,0.80|0.08
DE,de_v_cas_const,152,133,171,norm,152|13
DE,de_h_mach_const,9.7,7.0,11.4,beta,5.4|3.2|4.0|8.5
DE,de_h_cas_const,6.1,3.3,8.8,norm,6.1|1.7
DE,de_vh_avg_mach_const,-6.32,-12.47,-2.24,beta,4.69|3.01|-18.50|18.82
DE,de_vh_avg_cas_const,-8.97,-13.58,-4.34,norm,-8.96|2.81
DE,de_vh_avg_after_cas,-6.08,-7.91,-4.24,norm,-6.07|1.12
FA,fa_va_avg,78,65,90,norm,78|8
FA,fa_vh_avg,-3.89,-4.65,-3.13,norm,-3.89|0.46
LD,ld_v_app,77.3,65.2,89.4,norm,77.3|8.4
LD,ld_d_brk,1.74,0.96,4.22,gamma,3.60|0.34|0.54
LD,ld_acc_brk,-1.14,-1.93,-0.57,beta,6.23|4.08|-2.94|2.85
