phase,param,opt,min,max,model,pm
TO,to_v_lof,90.8,80.0,101.6,norm,90.8|7.5
TO,to_d_tof,1.85,1.16,2.54,norm,1.85|0.42
TO,to_acc_tof,1.95,1.48,2.42,norm,1.95|0.29
IC,ic_va_avg,86,78,94,norm,86|5
IC,ic_vz_avg,13.21,9.31,17.13,norm,13.22|2.38
CL,cl_d_range,236,164,439,gamma,5|136|23
CL,cl_v_cas_const,158,145,171,norm,158|7
CL,cl_v_mach_const,0.78,0.72,0.81,beta,15.34|6.21|0.57|0.29
CL,cl_h_cas_const,5.3,3.5,7.1,norm,5.3|0.9
CL,cl_h_mach_const,9.2,7.1,10.5,beta,10.3|4.5|3.6|7.7
CL,cl_vz_avg_pre_cas,9.49,7.16,11.82,norm,9.49|1.42
CL,cl_vz_avg_cas_const,6.73,4.29,9.18,norm,6.74|1.49
CL,cl_vz_avg_mach_const,4.89,2.81,6.99,norm,4.90|1.27
CR,cr_d_range,601,194,5334,gamma,1|161|790
CR,cr_v_cas_mean,136,127,153,gamma,7|117|2
CR,cr_v_cas_max,140,130,164,gamma,5|121|4
CR,cr_v_mach_mean,0.78,0.75,0.80,norm,0.78|0.02
CR,cr_v_mach_max,0.79,0.77,0.84,gamma,14.56|0.71|0.01
CR,cr_h_mean,10.4,9.2,11.5,norm,10.4|0.7
CR,cr_h_max,10.5,9.5,11.5,norm,10.5|0.6
DE,de_d_range,242,168,464,gamma,4|143|26
DE,de_v_mach_const,0.77,0.71,0.80,beta,8.91|3.49|0.60|0.22
DE,de_v_cas_const,149,136,163,norm,149|8
DE,de_h_mach_const,9.1,7.1,10.4,beta,5.2|3.2|5.1|6.2
DE,de_h_cas_const,6.2,3.3,8.4,beta,3.3|2.7|1.3|8.4
DE,de_vz_avg_mach_const,-5.57,-11.75,-2.02,beta,4.71|2.68|-17.89|17.89
DE,de_vz_avg_cas_const,-9.15,-13.70,-4.57,norm,-9.14|2.77
DE,de_vz_avg_after_cas,-6.03,-7.81,-4.24,norm,-6.02|1.09
FA,fa_va_avg,75,70,80,norm,75|3
FA,fa_vz_avg,-3.69,-4.37,-2.99,norm,-3.68|0.42
LD,ld_v_app,72.9,66.9,79.0,norm,72.9|4.2
LD,ld_d_brk,1.44,0.73,4.12,gamma,2.87|0.26|0.63
LD,ld_acc_brk,-1.06,-2.11,-0.49,beta,9.63|3.80|-4.21|4.17
