phase,param,opt,min,max,model,pm
TO,to_v_lof,87.0,76.0,98.2,norm,87.1|7.7
TO,to_d_tof,2.21,1.43,3.78,gamma,8.13|0.40|0.25
TO,to_acc_tof,1.40,1.01,1.80,norm,1.40|0.24
IC,ic_va_avg,84,76,93,beta,3|5|69|36
IC,ic_vz_avg,6.58,4.79,10.89,gamma,5.53|2.93|0.81
CL,cl_d_range,307,173,443,norm,308|52
CL,cl_v_cas_const,159,146,168,beta,5|2|131|41
CL,cl_v_mach_const,0.78,0.75,0.82,norm,0.78|0.02
CL,cl_h_cas_const,5.0,3.0,6.9,norm,5.0|1.0
CL,cl_h_mach_const,9.5,7.9,11.1,norm,9.5|0.8
CL,cl_vz_avg_pre_cas,7.13,5.54,10.68,gamma,6.44|3.72|0.63
CL,cl_vz_avg_cas_const,5.85,3.99,8.94,gamma,14.54|0.46|0.40
CL,cl_vz_avg_mach_const,4.05,2.03,6.09,norm,4.06|1.23
CR,cr_d_range,5438,-3430,14332,norm,5450|3447
CR,cr_v_cas_mean,138,128,149,norm,138|6
CR,cr_v_cas_max,149,133,166,norm,149|9
CR,cr_v_mach_mean,0.81,0.79,0.83,norm,0.81|0.01
CR,cr_v_mach_max,0.83,0.81,0.88,gamma,11.68|0.77|0.01
CR,cr_h_mean,11.0,10.0,12.0,norm,11.0|0.6
CR,cr_h_max,11.5,10.6,12.4,norm,11.5|0.6
DE,de_d_range,284,202,501,gamma,6|166|23
DE,de_v_mach_const,0.80,0.75,0.84,norm,0.80|0.03
DE,de_v_cas_const,152,139,166,norm,152|8
DE,de_h_mach_const,9.6,8.0,11.2,norm,9.6|1.0
DE,de_h_cas_const,5.9,3.1,8.6,norm,5.9|1.7
DE,de_vz_avg_mach_const,-5.78,-11.97,-2.68,beta,6.21|2.77|-20.26|19.42
DE,de_vz_avg_cas_const,-8.98,-13.47,-4.46,norm,-8.97|2.74
DE,de_vz_avg_after_cas,-5.51,-7.22,-3.80,norm,-5.51|1.04
FA,fa_va_avg,74,69,79,norm,74|3
FA,fa_vz_avg,-3.64,-4.32,-2.96,norm,-3.64|0.41
LD,ld_v_app,72.2,67.5,77.0,norm,72.3|3.3
LD,ld_d_brk,1.68,0.91,3.97,gamma,3.87|0.28|0.49
LD,ld_acc_brk,-1.06,-1.82,-0.47,beta,5.15|3.83|-2.62|2.62
