phase,param,opt,min,max,model,pm
TO,to_v_lof,89.9,75.4,104.5,norm,89.9|10.1
TO,to_d_tof,2.56,1.34,3.79,norm,2.56|0.74
TO,to_acc_tof,1.35,1.03,1.67,norm,1.35|0.19
IC,ic_va_avg,88,79,96,norm,88|5
IC,ic_vz_avg,5.72,4.37,8.91,gamma,5.67|2.95|0.59
CL,cl_d_range,298,213,506,gamma,6|171|21
CL,cl_v_cas_const,166,157,174,norm,166|5
CL,cl_v_mach_const,0.83,0.79,0.87,norm,0.83|0.02
CL,cl_h_cas_const,5.0,2.8,7.2,norm,5.0|1.1
CL,cl_h_mach_const,9.9,8.4,11.5,norm,9.9|0.8
CL,cl_vz_avg_pre_cas,8.45,6.58,10.32,norm,8.45|1.14
CL,cl_vz_avg_cas_const,6.52,3.92,9.19,beta,6.41|6.73|0.68|12.03
CL,cl_vz_avg_mach_const,4.88,2.58,7.19,norm,4.88|1.40
CR,cr_d_range,4111,906,17803,gamma,3|227|1863
CR,cr_v_cas_mean,136,129,145,beta,4|7|124|35
CR,cr_v_cas_max,143,135,167,gamma,3|128|5
CR,cr_v_mach_mean,0.84,0.82,0.86,norm,0.84|0.01
CR,cr_v_mach_max,0.87,0.85,0.91,gamma,28.56|0.78|0.00
CR,cr_h_mean,11.8,10.9,12.3,beta,13.1|5.6|8.7|4.2
CR,cr_h_max,12.2,11.4,12.7,beta,8.0|4.3|10.1|3.0
DE,de_d_range,313,235,538,gamma,5|204|25
DE,de_v_mach_const,0.83,0.79,0.87,norm,0.83|0.03
DE,de_v_cas_const,156,143,170,norm,156|8
DE,de_h_mach_const,10.3,7.7,11.5,beta,7.8|2.9|3.3|9.0
DE,de_h_cas_const,6.5,3.8,9.3,norm,6.5|1.7
DE,de_vz_avg_mach_const,-6.45,-11.67,-2.79,beta,4.14|2.91|-16.15|15.58
DE,de_vz_avg_cas_const,-8.17,-11.73,-4.60,norm,-8.16|2.17
DE,de_vz_avg_after_cas,-5.49,-6.97,-4.00,norm,-5.48|0.90
FA,fa_va_avg,73,68,77,norm,73|3
FA,fa_vz_avg,-3.70,-4.14,-2.92,gamma,11.94|-4.88|0.11
LD,ld_v_app,70.0,61.8,78.3,norm,70.0|5.7
LD,ld_d_brk,2.26,0.73,3.80,norm,2.26|0.93
LD,ld_acc_brk,-1.01,-1.51,-0.52,norm,-1.01|0.30
