phase,param,opt,min,max,model,pm
TO,to_v_lof,82.7,72.4,93.0,norm,82.7|7.1
TO,to_d_tof,1.53,1.05,2.40,gamma,11.88|0.23|0.12
TO,to_acc_tof,1.84,1.38,2.29,norm,1.84|0.28
IC,ic_va_avg,80,72,87,norm,80|5
IC,ic_vz_avg,12.25,9.36,15.15,norm,12.26|1.76
CL,cl_d_range,207,157,350,gamma,5|138|16
CL,cl_v_cas_const,148,138,166,gamma,11|121|2
CL,cl_v_mach_const,0.77,0.73,0.81,norm,0.77|0.02
CL,cl_h_cas_const,5.0,3.0,7.1,norm,5.1|1.1
CL,cl_h_mach_const,10.0,7.6,11.1,beta,8.9|3.1|4.0|7.6
CL,cl_vz_avg_pre_cas,11.54,8.92,14.17,norm,11.55|1.60
CL,cl_vz_avg_cas_const,8.67,6.02,11.33,norm,8.67|1.61
CL,cl_vz_avg_mach_const,5.67,3.24,8.12,norm,5.68|1.48
CR,cr_d_range,288,172,3904,gamma,1|164|651
CR,cr_v_cas_mean,126,118,140,gamma,18|99|1
CR,cr_v_cas_max,128,121,148,gamma,3|116|4
CR,cr_v_mach_mean,0.77,0.74,0.80,norm,0.77|0.02
CR,cr_v_mach_max,0.79,0.75,0.82,norm,0.79|0.02
CR,cr_h_mean,11.5,10.1,12.0,beta,6.2|2.0|8.1|4.1
CR,cr_h_max,11.6,10.3,12.0,beta,6.1|2.0|8.4|3.8
DE,de_d_range,235,175,492,gamma,3|162|34
DE,de_v_mach_const,0.76,0.70,0.80,beta,7.49|4.28|0.62|0.22
DE,de_v_cas_const,143,134,163,gamma,6|123|3
DE,de_h_mach_const,9.2,6.9,10.7,beta,5.9|3.2|4.1|7.6
DE,de_h_cas_const,5.2,2.7,8.2,beta,3.7|4.3|0.8|10.0
DE,de_vz_avg_mach_const,-5.82,-12.06,-2.41,beta,4.07|2.36|-17.36|16.65
DE,de_vz_avg_cas_const,-9.60,-14.30,-4.88,norm,-9.59|2.87
DE,de_vz_avg_after_cas,-5.94,-7.76,-4.10,norm,-5.93|1.11
FA,fa_va_avg,67,63,76,gamma,7|56|1
FA,fa_vz_avg,-3.42,-4.20,-2.64,norm,-3.42|0.47
LD,ld_v_app,66.2,60.6,71.9,norm,66.2|3.9
LD,ld_d_brk,1.40,0.70,4.16,gamma,2.76|0.24|0.66
LD,ld_acc_brk,-0.79,-1.92,-0.35,beta,22.41|3.49|-7.36|7.34
