phase,param,opt,min,max,model,pm
TO,to_v_lof,92.4,79.5,105.3,norm,92.4|9.0
TO,to_d_tof,1.82,1.03,2.62,norm,1.82|0.48
TO,to_acc_tof,1.97,1.46,2.49,norm,1.97|0.31
IC,ic_va_avg,88,80,96,norm,88|5
IC,ic_vz_avg,14.28,9.41,19.17,norm,14.29|2.97
CL,cl_d_range,211,165,354,gamma,4|149|17
CL,cl_v_cas_const,163,149,174,beta,7|4|126|57
CL,cl_v_mach_const,0.80,0.75,0.84,norm,0.80|0.03
CL,cl_h_cas_const,5.7,4.1,7.3,norm,5.7|0.8
CL,cl_h_mach_const,9.6,7.8,11.4,norm,9.6|0.9
CL,cl_vz_avg_pre_cas,11.02,8.27,13.78,norm,11.02|1.68
CL,cl_vz_avg_cas_const,8.78,5.15,12.42,norm,8.79|2.21
CL,cl_vz_avg_mach_const,5.48,2.25,8.72,norm,5.49|1.97
CR,cr_d_range,1325,540,9818,beta,1|4|496|13389
CR,cr_v_cas_mean,138,127,149,norm,138|6
CR,cr_v_cas_max,143,132,166,gamma,6|120|4
CR,cr_v_mach_mean,0.80,0.77,0.83,norm,0.80|0.02
CR,cr_v_mach_max,0.82,0.79,0.88,gamma,10.79|0.75|0.01
CR,cr_h_mean,10.9,9.9,11.8,norm,10.9|0.6
CR,cr_h_max,11.2,10.1,12.1,beta,7.9|6.1|8.4|4.8
DE,de_d_range,248,177,497,gamma,3|158|31
DE,de_v_mach_const,0.79,0.73,0.84,norm,0.79|0.03
DE,de_v_cas_const,152,137,167,norm,152|9
DE,de_h_mach_const,9.4,7.7,11.0,norm,9.4|1.0
DE,de_h_cas_const,6.6,4.2,8.9,norm,6.6|1.4
DE,de_vz_avg_mach_const,-6.52,-12.96,-2.15,beta,3.30|2.40|-17.28|17.28
DE,de_vz_avg_cas_const,-9.66,-14.85,-4.44,norm,-9.65|3.17
DE,de_vz_avg_after_cas,-6.22,-7.96,-4.46,norm,-6.21|1.06
FA,fa_va_avg,74,68,80,norm,74|4
FA,fa_vz_avg,-3.73,-4.44,-2.70,gamma,27.03|-6.39|0.10
LD,ld_v_app,72.1,65.3,79.0,norm,72.1|4.8
LD,ld_d_brk,1.58,0.64,3.71,beta,1.78|3.06|0.28|4.72
LD,ld_acc_brk,-1.09,-1.95,-0.52,beta,5.75|3.52|-2.97|2.87
