phase,param,opt,min,max,model,pm
TO,to_v_lof,86.5,75.0,98.1,norm,86.5|8.0
TO,to_d_tof,1.66,1.12,2.63,gamma,11.91|0.19|0.13
TO,to_acc_tof,1.82,1.36,2.28,norm,1.82|0.28
IC,ic_va_avg,87,80,93,norm,87|4
IC,ic_vz_avg,12.27,8.25,16.30,norm,12.28|2.44
CL,cl_d_range,218,170,359,gamma,5|152|16
CL,cl_v_cas_const,150,141,167,gamma,9|129|2
CL,cl_v_mach_const,0.78,0.74,0.81,norm,0.78|0.02
CL,cl_h_cas_const,5.2,3.1,7.3,norm,5.2|1.1
CL,cl_h_mach_const,10.0,8.5,11.5,norm,10.0|0.8
CL,cl_vz_avg_pre_cas,11.36,8.85,13.88,norm,11.37|1.53
CL,cl_vz_avg_cas_const,8.68,6.25,11.13,norm,8.69|1.48
CL,cl_vz_avg_mach_const,5.33,3.26,7.40,norm,5.33|1.26
CR,cr_d_range,937,489,4767,gamma,1|444|613
CR,cr_v_cas_mean,128,121,142,gamma,7|113|2
CR,cr_v_cas_max,133,125,153,gamma,5|116|3
CR,cr_v_mach_mean,0.78,0.75,0.80,beta,13.35|5.86|0.66|0.16
CR,cr_v_mach_max,0.80,0.77,0.83,norm,0.80|0.02
CR,cr_h_mean,11.2,10.2,12.2,norm,11.2|0.6
CR,cr_h_max,11.4,10.5,12.3,norm,11.4|0.5
DE,de_d_range,244,177,487,gamma,3|158|31
DE,de_v_mach_const,0.77,0.70,0.81,beta,8.42|3.02|0.58|0.25
DE,de_v_cas_const,147,132,162,norm,147|9
DE,de_h_mach_const,9.8,7.6,11.1,beta,5.1|2.7|5.1|6.6
DE,de_h_cas_const,5.9,3.2,8.5,norm,5.9|1.6
DE,de_vz_avg_mach_const,-5.69,-12.60,-1.99,beta,4.67|2.52|-19.44|19.44
DE,de_vz_avg_cas_const,-9.66,-14.36,-4.93,norm,-9.65|2.87
DE,de_vz_avg_after_cas,-6.20,-7.93,-4.46,norm,-6.19|1.05
FA,fa_va_avg,77,71,82,norm,77|3
FA,fa_vz_avg,-3.84,-4.57,-3.11,norm,-3.84|0.44
LD,ld_v_app,75.4,69.2,81.6,norm,75.4|4.3
LD,ld_d_brk,1.33,0.66,3.55,gamma,3.31|0.17|0.50
LD,ld_acc_brk,-1.36,-2.14,-0.57,norm,-1.36|0.48
