phase,param,opt,min,max,model,pm
TO,to_v_lof,83.6,72.3,94.9,norm,83.6|7.9
TO,to_d_tof,1.55,1.00,2.56,gamma,10.44|0.14|0.15
TO,to_acc_tof,1.77,1.30,2.23,norm,1.77|0.28
IC,ic_va_avg,81,70,91,norm,81|7
IC,ic_vz_avg,11.86,7.69,16.06,norm,11.87|2.54
CL,cl_d_range,202,154,346,gamma,5|136|16
CL,cl_v_cas_const,151,137,165,norm,151|8
CL,cl_v_mach_const,0.78,0.73,0.81,beta,39.32|5.26|0.28|0.56
CL,cl_h_cas_const,5.3,3.2,7.4,norm,5.3|1.1
CL,cl_h_mach_const,10.3,7.8,11.6,beta,7.4|3.3|4.7|7.5
CL,cl_vz_avg_pre_cas,12.32,9.29,15.36,norm,12.33|1.84
CL,cl_vz_avg_cas_const,9.89,6.32,13.47,norm,9.89|2.18
CL,cl_vz_avg_mach_const,5.82,3.28,8.38,norm,5.83|1.55
CR,cr_d_range,491,175,4489,gamma,1|150|675
CR,cr_v_cas_mean,125,114,135,norm,125|6
CR,cr_v_cas_max,129,115,150,gamma,24|78|2
CR,cr_v_mach_mean,0.77,0.75,0.80,norm,0.77|0.02
CR,cr_v_mach_max,0.80,0.76,0.84,norm,0.80|0.02
CR,cr_h_mean,11.7,10.7,12.8,norm,11.7|0.6
CR,cr_h_max,12.5,10.7,12.5,beta,5.3|1.0|8.1|4.4
DE,de_d_range,249,173,586,gamma,2|157|46
DE,de_v_mach_const,0.78,0.69,0.81,beta,28.18|3.95|0.18|0.66
DE,de_v_cas_const,145,131,160,norm,145|8
DE,de_h_mach_const,9.4,7.6,11.2,norm,9.4|1.1
DE,de_h_cas_const,5.7,3.0,8.5,norm,5.7|1.7
DE,de_vz_avg_mach_const,-5.45,-12.87,-2.28,beta,3.94|1.99|-18.99|18.09
DE,de_vz_avg_cas_const,-8.95,-14.05,-3.84,norm,-8.94|3.10
DE,de_vz_avg_after_cas,-5.86,-7.94,-3.77,norm,-5.86|1.27
FA,fa_va_avg,70,65,80,gamma,7|58|1
FA,fa_vz_avg,-3.58,-4.46,-2.69,norm,-3.58|0.54
LD,ld_v_app,68.8,62.9,74.7,norm,68.8|4.1
LD,ld_d_brk,2.07,0.64,4.38,beta,1.43|1.69|0.27|4.71
LD,ld_acc_brk,-0.82,-1.91,-0.31,beta,6.14|2.65|-3.36|3.34
