phase,param,opt,min,max,model,pm
TO,to_v_lof,89.9,77.8,102.0,norm,89.9|8.4
TO,to_d_tof,1.98,1.16,2.80,norm,1.98|0.50
TO,to_acc_tof,1.75,1.32,2.19,norm,1.75|0.26
IC,ic_va_avg,86,78,94,norm,86|5
IC,ic_vz_avg,12.48,8.38,16.60,norm,12.49|2.50
CL,cl_d_range,306,159,453,norm,306|57
CL,cl_v_cas_const,155,145,166,norm,155|6
CL,cl_v_mach_const,0.80,0.75,0.86,norm,0.80|0.03
CL,cl_h_cas_const,5.2,3.2,7.2,norm,5.2|1.0
CL,cl_h_mach_const,10.1,8.2,12.0,norm,10.1|1.0
CL,cl_vz_avg_pre_cas,9.72,7.19,12.26,norm,9.73|1.54
CL,cl_vz_avg_cas_const,6.80,4.19,9.42,norm,6.81|1.59
CL,cl_vz_avg_mach_const,4.15,2.47,7.39,gamma,9.22|0.05|0.50
CR,cr_d_range,224,241,10006,beta,0|2|216|10638
CR,cr_v_cas_mean,130,122,144,gamma,11|109|2
CR,cr_v_cas_max,136,126,163,gamma,4|118|5
CR,cr_v_mach_mean,0.82,0.78,0.84,beta,23.04|6.20|0.64|0.22
CR,cr_v_mach_max,0.84,0.80,0.87,norm,0.84|0.02
CR,cr_h_mean,12.3,10.3,12.4,beta,4.8|1.2|8.1|4.4
CR,cr_h_max,12.5,10.7,12.5,beta,5.4|1.0|8.1|4.4
DE,de_d_range,285,206,517,gamma,5|176|26
DE,de_v_mach_const,0.80,0.76,0.85,norm,0.80|0.03
DE,de_v_cas_const,152,138,166,norm,152|8
DE,de_h_mach_const,10.3,7.7,11.4,beta,9.5|3.0|2.3|9.8
DE,de_h_cas_const,6.2,3.6,8.9,norm,6.2|1.6
DE,de_vz_avg_mach_const,-6.18,-12.67,-2.48,beta,6.29|3.17|-21.29|21.29
DE,de_vz_avg_cas_const,-9.15,-13.51,-4.78,norm,-9.14|2.65
DE,de_vz_avg_after_cas,-5.81,-7.58,-4.04,norm,-5.81|1.08
FA,fa_va_avg,72,67,78,norm,72|3
FA,fa_vz_avg,-3.62,-4.25,-2.98,norm,-3.62|0.39
LD,ld_v_app,70.7,65.4,75.9,norm,70.7|3.6
LD,ld_d_brk,1.55,0.86,3.66,gamma,3.68|0.32|0.46
LD,ld_acc_brk,-1.18,-1.85,-0.50,norm,-1.18|0.41
