phase,param,opt,min,max,model,pm
TO,to_v_lof,96.1,81.0,111.3,norm,96.1|10.5
TO,to_d_tof,2.49,1.30,3.70,norm,2.50|0.73
TO,to_acc_tof,1.63,1.19,2.06,norm,1.63|0.26
IC,ic_va_avg,93,81,103,beta,5|4|64|50
IC,ic_vz_avg,10.60,6.45,14.77,norm,10.61|2.53
CL,cl_d_range,282,181,453,beta,3|6|156|399
CL,cl_v_cas_const,167,152,181,beta,3|3|140|51
CL,cl_v_mach_const,0.85,0.81,0.88,norm,0.85|0.02
CL,cl_h_cas_const,5.7,3.9,7.5,norm,5.7|0.9
CL,cl_h_mach_const,10.1,8.3,11.9,norm,10.1|0.9
CL,cl_vz_avg_pre_cas,9.19,7.72,12.61,gamma,6.07|6.08|0.62
CL,cl_vz_avg_cas_const,7.33,4.54,10.14,norm,7.34|1.70
CL,cl_vz_avg_mach_const,4.88,2.35,7.42,norm,4.88|1.54
CR,cr_d_range,5206,-3385,13821,norm,5218|3340
CR,cr_v_cas_mean,139,129,149,norm,139|6
CR,cr_v_cas_max,146,133,173,beta,4|15|121|138
CR,cr_v_mach_mean,0.85,0.83,0.87,norm,0.85|0.01
CR,cr_v_mach_max,0.88,0.85,0.92,gamma,13.22|0.80|0.01
CR,cr_h_mean,11.6,10.7,12.5,norm,11.6|0.5
CR,cr_h_max,12.0,11.1,12.7,beta,16.2|8.0|8.4|5.3
DE,de_d_range,303,211,548,gamma,5|171|26
DE,de_v_mach_const,0.83,0.79,0.88,norm,0.83|0.03
DE,de_v_cas_const,155,139,171,norm,155|9
DE,de_h_mach_const,10.6,8.0,11.6,beta,7.4|2.6|3.7|8.5
DE,de_h_cas_const,6.8,4.2,9.5,norm,6.9|1.6
DE,de_vz_avg_mach_const,-6.87,-12.78,-2.78,beta,3.52|2.56|-17.01|16.40
DE,de_vz_avg_cas_const,-8.86,-13.44,-4.26,norm,-8.85|2.79
DE,de_vz_avg_after_cas,-6.15,-7.95,-4.34,norm,-6.15|1.10
FA,fa_va_avg,77,72,83,norm,77|3
FA,fa_vz_avg,-4.11,-4.78,-3.11,gamma,24.35|-6.53|0.10
LD,ld_v_app,74.0,64.8,83.3,norm,74.1|6.4
LD,ld_d_brk,2.49,0.67,4.31,norm,2.49|1.11
LD,ld_acc_brk,-1.11,-1.74,-0.47,norm,-1.11|0.39
