phase,param,opt,min,max,model,pm
TO,to_v_lof,90.3,74.3,106.4,norm,90.3|11.1
TO,to_d_tof,2.16,1.07,3.26,norm,2.16|0.67
TO,to_acc_tof,1.61,1.15,2.07,norm,1.61|0.28
IC,ic_va_avg,87,78,97,beta,3|4|69|39
IC,ic_vz_avg,10.63,6.22,14.50,beta,7.70|6.24|-0.33|19.51
CL,cl_d_range,297,150,446,norm,298|57
CL,cl_v_cas_const,162,149,176,norm,162|8
CL,cl_v_mach_const,0.85,0.80,0.89,norm,0.85|0.03
CL,cl_h_cas_const,5.6,3.7,7.6,norm,5.6|1.0
CL,cl_h_mach_const,11.0,8.5,12.2,beta,11.3|3.7|3.9|9.0
CL,cl_vz_avg_pre_cas,9.95,7.48,12.42,norm,9.95|1.50
CL,cl_vz_avg_cas_const,7.70,4.82,10.59,norm,7.70|1.75
CL,cl_vz_avg_mach_const,4.86,2.46,7.27,norm,4.86|1.46
CR,cr_d_range,918,231,11432,beta,1|1|189|12012
CR,cr_v_cas_mean,132,125,146,gamma,7|117|2
CR,cr_v_cas_max,140,129,166,gamma,5|118|4
CR,cr_v_mach_mean,0.85,0.83,0.87,norm,0.85|0.01
CR,cr_v_mach_max,0.87,0.85,0.91,gamma,20.73|0.79|0.00
CR,cr_h_mean,12.0,11.1,12.9,norm,12.0|0.5
CR,cr_h_max,12.3,11.5,13.1,norm,12.3|0.5
DE,de_d_range,296,218,564,gamma,3|196|33
DE,de_v_mach_const,0.83,0.79,0.88,norm,0.83|0.03
DE,de_v_cas_const,155,140,170,norm,155|8
DE,de_h_mach_const,10.2,8.5,11.8,norm,10.2|1.0
DE,de_h_cas_const,7.2,4.1,9.6,beta,3.5|2.8|1.8|9.1
DE,de_vz_avg_mach_const,-7.42,-13.94,-3.20,beta,3.86|2.59|-19.14|18.22
DE,de_vz_avg_cas_const,-9.31,-13.84,-4.75,norm,-9.30|2.76
DE,de_vz_avg_after_cas,-6.15,-7.94,-4.36,norm,-6.15|1.09
FA,fa_va_avg,75,70,80,norm,75|3
FA,fa_vz_avg,-3.91,-4.62,-3.19,norm,-3.90|0.44
LD,ld_v_app,71.3,61.5,81.1,norm,71.3|6.8
LD,ld_d_brk,2.08,0.45,3.71,norm,2.08|0.99
LD,ld_acc_brk,-1.12,-1.79,-0.45,norm,-1.12|0.41
