phase,param,opt,min,max,model,pm
TO,to_v_lof,90.5,76.7,104.4,norm,90.5|9.6
TO,to_d_tof,1.66,0.99,2.70,beta,4.52|8.88|0.37|4.19
TO,to_acc_tof,1.91,1.45,2.37,norm,1.91|0.28
IC,ic_va_avg,88,78,98,norm,88|7
IC,ic_vz_avg,12.93,8.25,17.63,norm,12.94|2.85
CL,cl_d_range,228,169,389,gamma,5|146|18
CL,cl_v_cas_const,158,145,171,norm,158|7
CL,cl_v_mach_const,0.79,0.75,0.84,norm,0.79|0.03
CL,cl_h_cas_const,5.3,3.6,7.1,norm,5.3|0.9
CL,cl_h_mach_const,9.9,7.8,11.1,beta,16.6|5.2|2.5|9.4
CL,cl_vz_avg_pre_cas,10.80,8.34,13.27,norm,10.80|1.50
CL,cl_vz_avg_cas_const,8.14,5.50,10.79,norm,8.15|1.61
CL,cl_vz_avg_mach_const,5.63,2.96,8.31,norm,5.63|1.63
CR,cr_d_range,1023,497,6775,beta,1|2|470|7451
CR,cr_v_cas_mean,133,123,144,norm,133|6
CR,cr_v_cas_max,139,127,159,gamma,19|98|2
CR,cr_v_mach_mean,0.79,0.77,0.82,norm,0.79|0.02
CR,cr_v_mach_max,0.82,0.78,0.86,norm,0.82|0.02
CR,cr_h_mean,11.2,10.1,12.1,beta,9.5|6.1|8.1|5.0
CR,cr_h_max,11.5,10.4,12.3,beta,10.8|5.6|8.1|5.0
DE,de_d_range,255,173,508,gamma,4|144|30
DE,de_v_mach_const,0.78,0.73,0.83,norm,0.78|0.03
DE,de_v_cas_const,151,137,165,norm,151|8
DE,de_h_mach_const,9.2,7.6,10.9,norm,9.2|1.0
DE,de_h_cas_const,6.3,3.8,8.7,norm,6.3|1.5
DE,de_vz_avg_mach_const,-6.23,-12.48,-2.54,beta,4.51|2.66|-18.41|17.94
DE,de_vz_avg_cas_const,-9.23,-14.31,-4.12,norm,-9.21|3.10
DE,de_vz_avg_after_cas,-6.13,-7.96,-4.29,norm,-6.12|1.11
FA,fa_va_avg,69,62,76,norm,69|4
FA,fa_vz_avg,-3.41,-4.21,-2.61,norm,-3.41|0.49
LD,ld_v_app,66.7,60.2,73.3,norm,66.7|4.5
LD,ld_d_brk,1.22,0.68,3.42,gamma,2.67|0.33|0.53
LD,ld_acc_brk,-0.99,-1.88,-0.47,beta,7.89|3.62|-3.37|3.28
