phase,param,opt,min,max,model,pm
TO,to_v_lof,85.3,70.4,96.9,beta,155851741.4|56.8|-190963643.3|190963797.1
TO,to_d_tof,1.68,0.83,2.53,norm,1.68|0.36
TO,to_acc_tof,1.95,1.40,2.28,beta,3521203.08|14.02|-252954.22|252957.10
IC,ic_va_avg,81,70,92,norm,81|7
IC,ic_vh_avg,12.78,8.72,15.72,beta,49809564.57|35.98|-17724305.81|17724331.04
CL,cl_d_range,246,169,391,gamma,11|97|13
CL,cl_v_cas_const,155,136,170,beta,87780901|75|-119258618|119258875
CL,cl_v_mach_const,0.77,0.68,0.86,norm,0.77|0.06
CL,cl_h_cas_const,4.8,2.2,7.4,norm,4.8|1.3
CL,cl_h_mach_const,7.8,5.4,9.7,beta,70.4|24.4|-10.5|24.4
CL,cl_vh_avg_pre_cas,10.32,7.71,12.93,norm,10.32|1.58
CL,cl_vh_avg_cas_const,8.60,5.56,11.65,norm,8.60|1.85
CL,cl_vh_avg_mach_const,5.44,3.87,7.32,beta,121.20|370075480.16|-6.02|35310031.62
CR,cr_d_range,932,473,3819,gamma,2|390|506
CR,cr_v_cas_mean,134,117,151,norm,134|11
CR,cr_v_cas_max,144,126,164,gamma,153|-17|1
CR,cr_v_mach_mean,0.78,0.71,0.86,norm,0.78|0.06
CR,cr_v_mach_max,0.83,0.75,0.92,norm,0.83|0.06
CR,cr_h_mean,10.9,10.0,11.8,norm,10.9|0.6
CR,cr_h_max,11.1,10.2,11.9,norm,11.1|0.5
DE,de_d_range,234,181,424,gamma,3|163|28
DE,de_v_mach_const,0.77,0.67,0.86,beta,4552447.98|65.61|-37647.90|37649.21
DE,de_v_cas_const,150,132,168,norm,150|12
DE,de_h_mach_const,9.4,6.6,10.6,beta,3096926.5|5.7|-1620917.4|1620929.3
DE,de_h_cas_const,5.3,2.5,8.2,beta,3.9|4.2|0.4|10.4
DE,de_vh_avg_mach_const,-6.30,-13.56,-2.71,beta,14.32|4.03|-35.09|35.35
DE,de_vh_avg_cas_const,-9.73,-14.36,-5.10,norm,-9.73|2.81
DE,de_vh_avg_after_cas,-5.88,-7.83,-3.94,norm,-5.89|1.18
FA,fa_va_avg,69,59,80,norm,69|7
FA,fa_vh_avg,-3.54,-4.17,-2.90,norm,-3.54|0.39
LD,ld_v_app,68.1,55.8,77.3,beta,4441438.6|41.5|-5166133.0|5166248.2
LD,ld_d_brk,1.20,0.45,4.33,gamma,2.90|0.26|0.50
LD,ld_acc_brk,-1.07,-1.97,-0.50,beta,1257162.34|18.81|-130157.61|130158.38
