phase,param,opt,min,max,model,pm
TO,to_v_lof,88.8,71.9,105.7,norm,88.8|11.8
TO,to_d_tof,1.72,0.75,2.99,beta,62.23|3342.42|-2.05|209.76
TO,to_acc_tof,1.85,1.35,2.36,norm,1.85|0.31
IC,ic_va_avg,86,69,103,norm,86|11
IC,ic_vh_avg,12.93,8.25,17.63,norm,12.94|2.85
CL,cl_d_range,227,169,355,gamma,8|126|14
CL,cl_v_cas_const,160,139,178,beta,4781|222|-4335|4703
CL,cl_v_mach_const,0.80,0.69,0.90,norm,0.79|0.07
CL,cl_h_cas_const,5.3,3.0,7.6,norm,5.3|1.2
CL,cl_h_mach_const,7.8,6.0,9.6,norm,7.8|0.9
CL,cl_vh_avg_pre_cas,10.44,7.95,12.92,norm,10.44|1.51
CL,cl_vh_avg_cas_const,8.91,5.91,11.91,norm,8.91|1.82
CL,cl_vh_avg_mach_const,6.38,4.09,8.66,norm,6.38|1.39
CR,cr_d_range,1080,535,6528,beta,1|3|483|7602
CR,cr_v_cas_mean,134,116,152,norm,134|12
CR,cr_v_cas_max,147,127,172,gamma,101|-8|1
CR,cr_v_mach_mean,0.80,0.71,0.88,norm,0.80|0.06
CR,cr_v_mach_max,0.86,0.77,0.96,norm,0.86|0.07
CR,cr_h_mean,11.2,10.3,12.1,norm,11.2|0.5
CR,cr_h_max,11.4,10.6,12.3,norm,11.4|0.5
DE,de_d_range,255,177,470,gamma,5|140|27
DE,de_v_mach_const,0.77,0.66,0.88,norm,0.77|0.08
DE,de_v_cas_const,151,130,171,norm,150|14
DE,de_h_mach_const,9.0,7.0,10.9,norm,9.0|1.2
DE,de_h_cas_const,6.0,2.7,8.5,beta,8.3|5.5|-2.6|13.8
DE,de_vh_avg_mach_const,-6.16,-12.55,-2.85,beta,12.32|4.00|-28.87|28.74
DE,de_vh_avg_cas_const,-9.31,-14.18,-4.44,norm,-9.31|2.96
DE,de_vh_avg_after_cas,-5.89,-7.89,-3.89,norm,-5.89|1.21
FA,fa_va_avg,68,53,84,norm,68|10
FA,fa_vh_avg,-3.42,-4.20,-2.63,norm,-3.41|0.48
LD,ld_v_app,65.8,52.4,79.2,norm,65.8|9.3
LD,ld_d_brk,1.26,0.50,4.45,gamma,2.93|0.29|0.50
LD,ld_acc_brk,-0.98,-1.80,-0.48,beta,41.29|8.58|-7.41|7.65
