phase,param,opt,min,max,model,pm
TO,to_v_lof,95.6,77.8,113.5,norm,95.7|12.4
TO,to_d_tof,2.52,0.87,4.16,norm,2.52|0.71
TO,to_acc_tof,1.60,1.11,2.00,beta,3727.14|64.08|-125.41|129.17
IC,ic_va_avg,91,75,106,norm,91|10
IC,ic_vh_avg,10.50,6.40,14.62,norm,10.51|2.50
CL,cl_d_range,274,185,415,gamma,22|52|10
CL,cl_v_cas_const,168,145,187,beta,1127|96|-1568|1883
CL,cl_v_mach_const,0.84,0.74,0.94,norm,0.84|0.07
CL,cl_h_cas_const,5.5,3.0,8.1,norm,5.5|1.3
CL,cl_h_mach_const,8.0,6.0,10.1,beta,533.2|3098666.9|-16.1|140479.0
CL,cl_vh_avg_pre_cas,9.32,7.37,11.90,gamma,47.59|-0.00|0.20
CL,cl_vh_avg_cas_const,8.19,5.43,11.52,gamma,101.58|-10.33|0.18
CL,cl_vh_avg_mach_const,5.99,3.89,8.10,norm,5.99|1.28
CR,cr_d_range,5790,-2103,13685,norm,5791|3393
CR,cr_v_cas_mean,140,125,156,norm,140|10
CR,cr_v_cas_max,159,135,183,norm,159|16
CR,cr_v_mach_mean,0.85,0.78,0.92,norm,0.85|0.05
CR,cr_v_mach_max,0.94,0.85,1.04,norm,0.94|0.07
CR,cr_h_mean,11.6,10.7,12.4,norm,11.6|0.5
CR,cr_h_max,12.0,11.3,12.7,norm,12.0|0.4
DE,de_d_range,304,219,480,gamma,9|150|18
DE,de_v_mach_const,0.83,0.72,0.94,norm,0.83|0.08
DE,de_v_cas_const,156,134,178,norm,156|15
DE,de_h_mach_const,10.3,7.5,11.5,beta,2103343.2|5.7|-1072948.6|1072961.3
DE,de_h_cas_const,6.4,3.0,9.2,beta,4.6|3.7|-0.2|11.5
DE,de_vh_avg_mach_const,-7.77,-12.63,-3.44,beta,5.23|4.51|-17.79|18.32
DE,de_vh_avg_cas_const,-8.92,-13.06,-4.77,norm,-8.91|2.52
DE,de_vh_avg_after_cas,-5.87,-7.78,-3.96,norm,-5.87|1.16
FA,fa_va_avg,76,63,89,norm,76|8
FA,fa_vh_avg,-4.08,-4.71,-3.23,gamma,37.45|-6.77|0.07
LD,ld_v_app,74.4,57.8,86.3,beta,8491718.6|35.4|-14183536.2|14183668.1
LD,ld_d_brk,2.51,-0.07,5.08,norm,2.51|1.11
LD,ld_acc_brk,-1.02,-1.75,-0.49,beta,569677.28|37.20|-35896.54|35897.80
