M 68.18 68.28
D 68.23 68.27
D 68.23 68.18
D 68.30 68.23
D 68.33 68.25
D 68.42 68.17
D 68.47 67.90
D 68.48 67.78
D 68.52 67.70
D 68.50 67.80
D 68.58 67.63
D 68.68 67.33
D 68.70 67.20
D 68.75 67.15
D 68.80 67.03
D 68.85 67.12
D 68.88 66.88
D 68.90 66.58
D 68.95 66.35
D 69.00 66.25
D 69.03 66.10
D 69.08 65.68
D 69.13 65.65
D 69.12 65.73
D 69.10 65.77
D 69.10 65.90
D 69.13 65.87
D 69.18 65.38
D 69.27 65.05
M 69.27 65.05
D 69.25 64.92
D 69.20 64.95
D 69.15 64.80
D 69.17 64.77
D 69.22 64.80
D 69.25 64.78
D 69.30 64.87
D 69.28 64.93
D 69.28 65.00
D 69.32 64.98
D 69.52 64.28
D 69.67 63.42
D 69.70 63.08
D 69.75 62.50
D 69.75 62.02
D 69.78 61.73
D 69.77 61.58
D 69.80 61.40
D 69.83 61.27
D 69.83 61.15
D 69.87 61.10
D 69.85 61.05
D 69.87 60.87
D 69.85 60.77
D 69.82 60.70
D 69.73 60.72
D 69.72 60.63
D 69.67 60.67
D 69.67 60.50
D 69.67 60.28
D 69.63 60.15
D 69.57 60.13
D 69.55 60.22
D 69.52 60.22
D 69.47 60.30
D 69.32 60.55
D 69.22 60.60
D 69.13 60.58
D 69.12 60.63
D 69.12 60.73
D 69.17 60.73
D 69.13 60.88
D 69.08 60.93
D 69.00 60.95
D 68.92 60.92
D 68.90 60.97
D 68.90 60.83
D 68.75 60.60
D 68.72 60.47
D 68.68 60.08
D 68.70 60.00
D 68.72 59.95
D 68.72 59.90
D 68.68 59.82
D 68.63 59.77
D 68.60 59.87
D 68.47 59.97
D 68.37 59.83
D 68.33 59.65
D 68.38 59.37
D 68.40 59.13
D 68.42 59.07
D 68.48 59.08
D 68.53 59.12
D 68.57 59.07
D 68.62 59.07
D 68.63 59.12
D 68.70 59.18
D 68.72 59.27
D 68.70 59.40
D 68.75 59.43
D 68.77 59.42
D 68.90 59.10
D 68.93 58.88
D 68.97 59.02
D 68.98 59.23
D 69.00 59.23
D 69.00 58.93
D 68.95 58.52
D 68.90 58.28
D 68.83 58.25
D 68.78 58.28
D 68.77 58.43
D 68.73 58.42
D 68.73 58.33
D 68.75 58.37
D 68.78 58.25
D 68.83 58.20
D 68.87 58.25
D 68.88 58.23
D 68.85 57.97
D 68.82 57.95
D 68.78 57.98
D 68.75 57.92
D 68.73 57.58
D 68.68 57.53
D 68.65 57.45
D 68.58 57.40
D 68.55 57.28
D 68.53 57.08
D 68.57 56.87
D 68.63 56.63
D 68.63 56.57
D 68.58 56.50
D 68.62 56.53
D 68.63 56.52
D 68.60 56.33
D 68.63 56.13
D 68.67 55.97
D 68.60 55.83
D 68.57 55.68
D 68.57 55.58
D 68.57 55.47
D 68.55 55.32
D 68.52 55.23
D 68.50 55.20
D 68.47 55.10
D 68.43 55.07
D 68.43 55.00
D 68.40 54.93
D 68.33 54.92
D 68.32 54.85
D 68.28 54.92
D 68.25 54.93
D 68.17 54.82
D 68.18 54.65
D 68.30 54.55
D 68.30 54.52
D 68.30 54.47
D 68.20 54.23
D 68.22 54.18
D 68.25 54.17
D 68.32 54.20
D 68.25 54.10
D 68.22 54.00
D 68.22 53.87
D 68.23 53.83
D 68.25 53.70
D 68.25 53.47
D 68.23 53.33
D 68.25 53.25
D 68.27 53.20
D 68.35 53.33
D 68.33 53.37
D 68.35 53.38
D 68.37 53.43
D 68.35 53.58
D 68.33 53.67
D 68.35 53.68
D 68.40 53.58
D 68.40 53.62
D 68.40 53.68
D 68.33 53.80
D 68.35 53.82
D 68.38 53.85
D 68.40 53.95
D 68.50 53.90
D 68.60 53.75
D 68.65 53.72
D 68.70 53.83
D 68.75 53.82
D 68.80 53.85
D 68.82 53.98
D 68.85 54.02
D 68.88 53.72
D 68.88 53.68
D 68.85 53.73
D 68.85 53.68
D 68.88 53.60
D 68.90 53.60
D 68.93 53.75
D 68.93 53.97
D 68.95 54.33
D 68.98 54.45
D 68.97 54.52
D 69.00 54.57
D 69.02 54.43
D 68.97 53.83
D 68.92 53.47
D 68.87 53.22
D 68.60 52.28
D 68.58 52.40
D 68.62 52.45
D 68.63 52.52
D 68.65 52.63
D 68.62 52.62
D 68.62 52.50
D 68.58 52.48
D 68.53 52.58
D 68.48 52.72
D 68.47 52.73
D 68.42 52.67
D 68.40 52.57
D 68.35 52.45
D 68.33 52.32
D 68.30 52.27
D 68.38 52.13
D 68.42 52.28
D 68.47 52.28
D 68.47 52.35
D 68.48 52.35
D 68.50 52.18
D 68.48 52.05
D 68.50 52.05
D 68.53 52.18
D 68.58 52.20
D 68.53 52.05
D 68.48 51.78
D 68.48 51.58
D 68.45 51.53
D 68.45 51.58
D 68.43 51.57
D 68.42 51.50
D 68.43 51.43
D 68.38 51.28
D 68.38 51.13
D 68.35 51.08
D 68.33 50.88
D 68.35 50.83
D 68.37 50.78
D 68.27 50.58
D 68.12 50.07
D 68.07 50.03
D 68.03 49.97
D 68.02 49.85
D 68.05 49.98
D 68.08 50.02
D 67.98 49.65
D 67.87 49.23
D 67.85 48.95
D 67.87 48.80
D 67.93 48.67
D 67.93 48.58
D 67.83 48.80
D 67.77 48.80
D 67.73 48.77
D 67.72 48.88
D 67.67 49.05
D 67.65 49.05
D 67.63 49.10
D 67.63 49.00
D 67.65 48.97
D 67.67 48.98
D 67.70 48.85
D 67.68 48.82
D 67.68 48.72
D 67.70 48.73
D 67.72 48.68
D 67.70 48.63
D 67.67 48.53
D 67.67 48.43
D 67.68 48.35
